"死亡年週","肺炎及流感死亡人數","四週移動平均"
"201401",400,350
"201402",391,363.75
"201403",391,377.5
"201404",362,386
"201405",412,389
"201406",436,400.25
"201407",399,402.25
"201408",443,422.5
"201409",423,425.25
"201410",393,414.5
"201411",416,418.75
"201412",390,405.5
"201413",408,401.75
"201414",360,393.5
"201415",405,390.75
"201416",348,380.25
"201417",312,356.25
"201418",335,350
"201419",317,328
"201420",330,323.5
"201421",287,317.25
"201422",292,306.5
"201423",331,310
"201424",331,310.25
"201425",273,306.75
"201426",346,320.25
"201427",323,318.25
"201428",329,317.75
"201429",322,330
"201430",367,335.25
"201431",350,342
"201432",333,343
"201433",325,343.75
"201434",330,334.5
"201435",331,329.75
"201436",325,327.75
"201437",322,327
"201438",310,322
"201439",296,313.25
"201440",343,317.75
"201441",345,323.5
"201442",312,324
"201443",319,329.75
"201444",312,322
"201445",278,305.25
"201446",285,298.5
"201447",303,294.5
"201448",262,282
"201449",292,285.5
"201450",290,286.75
"201451",303,286.75
"201452",350,308.75
"201453",320,315.75
"201501",358,332.75
"201502",401,357.25
"201503",383,365.5
"201504",323,366.25
"201505",341,362
"201506",404,362.75
"201507",386,363.5
"201508",398,382.25
"201509",388,394
"201510",363,383.75
"201511",432,395.25
"201512",373,389
"201513",366,383.5
"201514",401,393
"201515",345,371.25
"201516",346,364.5
"201517",345,359.25
"201518",396,358
"201519",353,360
"201520",321,353.75
"201521",344,353.5
"201522",324,335.5
"201523",363,338
"201524",402,358.25
"201525",389,369.5
"201526",408,390.5
"201527",377,394
"201528",416,397.5
"201529",372,393.25
"201530",346,377.75
"201531",334,367
"201532",331,345.75
"201533",301,328
"201534",304,317.5
"201535",314,312.5
"201536",349,317
"201537",362,332.25
"201538",332,339.25
"201539",356,349.75
"201540",335,346.25
"201541",332,338.75
"201542",318,335.25
"201543",328,328.25
"201544",340,329.5
"201545",330,329
"201546",321,329.75
"201547",301,323
"201548",367,329.75
"201549",371,340
"201550",361,350
"201551",372,367.75
"201552",348,363
"201601",359,360
"201602",376,363.75
"201603",431,378.5
"201604",478,411
"201605",488,443.25
"201606",595,498
"201607",657,554.5
"201608",647,596.75
"201609",583,620.5
"201610",589,619
"201611",531,587.5
"201612",477,545
"201613",463,515
"201614",452,480.75
"201615",443,458.75
"201616",411,442.25
"201617",375,420.25
"201618",370,399.75
"201619",354,377.5
"201620",381,370
"201621",364,367.25
"201622",362,365.25
"201623",342,362.25
"201624",323,347.75
"201625",381,352
"201626",366,353
"201627",362,358
"201628",360,367.25
"201629",352,360
"201630",356,357.5
"201631",366,358.5
"201632",372,361.5
"201633",350,361
"201634",358,361.5
"201635",349,357.25
"201636",326,345.75
"201637",335,342
"201638",349,339.75
"201639",360,342.5
"201640",362,351.5
"201641",383,363.5
"201642",354,364.75
"201643",363,365.5
"201644",355,363.75
"201645",339,352.75
"201646",393,362.5
"201647",394,370.25
"201648",369,373.75
"201649",384,385
"201650",405,388
"201651",400,389.5
"201652",386,393.75
"201701",424,403.75
"201702",377,396.75
"201703",392,394.75
"201704",413,401.5
"201705",465,411.75
"201706",447,429.25
"201707",494,454.75
"201708",452,464.5
"201709",403,449
"201710",423,443
"201711",381,414.75
"201712",382,397.25
"201713",380,391.5
"201714",429,393
"201715",368,389.75
"201716",360,384.25
"201717",370,381.75
"201718",378,369
"201719",399,376.75
"201720",359,376.5
"201721",364,375
"201722",392,378.5
"201723",382,374.25
"201724",423,390.25
"201725",371,392
"201726",464,410
"201727",441,424.75
"201728",477,438.25
"201729",484,466.5
"201730",450,463
"201731",474,471.25
"201732",456,466
"201733",448,457
"201734",408,446.5
"201735",386,424.5
"201736",362,401
"201737",417,393.25
"201738",377,385.5
"201739",418,393.5
"201740",387,399.75
"201741",370,388
"201742",389,391
"201743",388,383.5
"201744",367,378.5
"201745",369,378.25
"201746",320,361
"201747",380,359
"201748",368,359.25
"201749",382,362.5
"201750",408,384.5
"201751",426,396
"201752",453,417.25
"201801",475,440.5
"201802",441,448.75
"201803",511,470
"201804",471,474.5
"201805",459,470.5
"201806",568,502.25
"201807",573,517.75
"201808",594,548.5
"201809",511,561.5
"201810",511,547.25
"201811",496,528
"201812",459,494.25
"201813",469,483.75
"201814",428,463
"201815",458,453.5
"201816",451,451.5
"201817",388,431.25
"201818",415,428
"201819",391,411.25
"201820",367,390.25
"201821",408,395.25
"201822",408,393.5
"201823",413,399
"201824",403,408
"201825",428,413
"201826",410,413.5
"201827",415,414
"201828",435,422
"201829",403,415.75
"201830",401,413.5
"201831",409,412
"201832",415,407
"201833",417,410.5
"201834",359,400
"201835",392,395.75
"201836",386,388.5
"201837",413,387.5
"201838",407,399.5
"201839",424,407.5
"201840",410,413.5
"201841",412,413.25
"201842",435,420.25
"201843",396,413.25
"201844",414,414.25
"201845",395,410
"201846",374,394.75
"201847",339,380.5
"201848",388,374
"201849",374,368.75
"201850",377,369.5
"201851",420,389.75
"201852",419,397.5
"201901",480,424
"201902",437,439
"201903",430,441.5
"201904",467,453.5
"201905",530,466
"201906",465,473
"201907",515,494.25
"201908",505,503.75
"201909",486,492.75
"201910",451,489.25
"201911",472,478.5
"201912",468,469.25
"201913",492,470.75
"201914",464,474
"201915",446,467.5
"201916",442,461
"201917",426,444.5
"201918",427,435.25
"201919",385,420
"201920",448,421.5
"201921",440,425
"201922",400,418.25
"201923",436,431
"201924",438,428.5
"201925",450,431
"201926",430,438.5
"201927",424,435.5
"201928",442,436.5
"201929",481,444.25
"201930",455,450.5
"201931",446,456
"201932",419,450.25
"201933",418,434.5
"201934",458,435.25
"201935",436,432.75
"201936",486,449.5
"201937",482,465.5
"201938",450,463.5
"201939",445,465.75
"201940",472,462.25
"201941",416,445.75
"201942",445,444.5
"201943",454,446.75
"201944",438,438.25
"201945",436,443.25
"201946",398,431.5
"201947",412,421
"201948",426,418
"201949",457,423.25
"201950",498,448.25
"201951",516,474.25
"201952",440,477.75
"202001",444,474.5
"202002",486,471.5
"202003",436,451.5
"202004",529,473.75
"202005",528,494.75
"202006",552,511.25
"202007",504,528.25
"202008",530,528.5
"202009",462,512
"202010",458,488.5
"202011",412,465.5
"202012",413,436.25
"202013",415,424.5
"202014",423,415.75
"202015",410,415.25
"202016",382,407.5
"202017",333,387
"202018",348,368.25
"202019",371,358.5
"202020",373,356.25
"202021",327,354.75
"202022",323,348.5
"202023",334,339.25
